 Schema  |         Name          | Type  |     Owner
 winners | legapers              | table | postgres
 winners | legaret               | table | postgres
 winners | legasuc               | table | postgres
 winners | licita                | table | postgres
 winners | linceepa              | table | postgres
 winners | linceepv              | table | postgres
 winners | lincesg               | table | postgres
 winners | lincetar              | table | postgres
 winners | liprcabe              | table | postgres
 winners | liprdeta              | table | postgres
 winners | liqcabe               | table | postgres
 winners | liqdeta               | table | postgres
 winners | liqlsd                | table | postgres
 winners | liqpers               | table | postgres
 winners | logimpor              | table | postgres
 winners | lote                  | table | postgres
 winners | lugares               | table | postgres
 winners | m_bancos              | table | postgres
 winners | m_cencos              | table | postgres
 winners | m_ctacte              | table | postgres
 winners | m_reten               | table | postgres
 winners | m_stock               | table | postgres
 winners | m_stopart             | table | postgres
 winners | m_valor               | table | postgres
 winners | maeml                 | table | postgres
 winners | mailcabe              | table | postgres
 winners | maildeta              | table | postgres
 winners | mailmaes              | table | postgres
 winners | mareliq               | table | postgres
 winners | modbloq               | table | postgres
 winners | modcab                | table | postgres
 winners | modemp                | table | postgres
 winners | modfor                | table | postgres
 winners | modren                | table | postgres
 winners | monecoti              | table | postgres
 winners | monedas               | table | postgres
 winners | mpagrupaciones        | table | postgres
 winners | mpctacte              | table | postgres
 winners | mpmotivos             | table | postgres
 winners | nombres               | table | postgres
 winners | numefael              | table | postgres
 winners | numefaex              | table | postgres
 winners | obrasoc               | table | postgres
 winners | operac                | table | postgres
 winners | operaudi              | table | postgres
 winners | operuso               | table | postgres
 winners | pagobanc              | table | postgres
 winners | paises                | table | postgres
 winners | partidas              | table | postgres
 winners | partprod              | table | postgres
 winners | pdcabe                | table | postgres
 winners | pddeta                | table | postgres
 winners | pditem                | table | postgres
 winners | percfact              | table | postgres
 winners | percvari              | table | postgres
 winners | personal              | table | postgres
 winners | procesosespeciales    | table | postgres
 winners | prodatriml            | table | postgres
 winners | prodbase              | table | postgres
 winners | prodcolor             | table | postgres
 winners | proddepa              | table | postgres
 winners | proddepo              | table | postgres
 winners | proddocu              | table | postgres
 winners | prodetap              | table | postgres
 winners | prodfam1              | table | postgres
 winners | prodfam2              | table | postgres
 winners | prodfam3              | table | postgres
 winners | prodfam4              | table | postgres
 winners | prodfam5              | table | postgres
 winners | prodfor               | table | postgres
 winners | prodhijo              | table | postgres
 winners | prodimag              | table | postgres
 winners | prodimagml            | table | postgres
 winners | prodml                | table | postgres
 winners | prodprec              | table | postgres
 winners | prodprecp             | table | postgres
 winners | prodproc              | table | postgres
 winners | prodresi              | table | postgres
 winners | prodsit               | table | postgres
 winners | prodtall              | table | postgres
 winners | producto              | table | postgres
 winners | prodval               | table | postgres
 winners | prodvalvie            | table | postgres
 winners | proyecto              | table | postgres
 winners | prpaproc              | table | postgres
 winners | publicml              | table | postgres
 winners | publicmlprec          | table | postgres
 winners | pventa                | table | postgres
 winners | r_bancos              | table | postgres
 winners | r_cencos              | table | postgres
 winners | r_ctacte              | table | postgres
 winners | r_cuentas             | table | postgres
 winners | r_prod                | table | postgres
 winners | r_prodgral            | table | postgres
 winners | r_prodpa              | table | postgres
 winners | ranven                | table | postgres
 winners | repago                | table | postgres
 winners | repagocuentas         | table | postgres
 winners | repamat               | table | postgres
 winners | reprodatriml          | table | postgres
 winners | reprodimagml          | table | postgres
 winners | reprodml              | table | postgres
 winners | republicml            | table | postgres
 winners | resedeta              | table | postgres
 winners | resfac                | table | postgres
 winners | ressiap               | table | postgres
 winners | resucabe              | table | postgres
 winners | resudeta              | table | postgres
 winners | reten                 | table | postgres
 winners | retencer              | table | postgres
 winners | retendet              | table | postgres
 winners | retenmat              | table | postgres
 winners | rubrospro             | table | postgres
 winners | scriptapli            | table | postgres
 winners | sectaudit             | table | postgres
 winners | sector                | table | postgres
 winners | sijp                  | table | postgres
 winners | sitdef                | table | postgres
 winners | sitimp                | table | postgres
 winners | sitrevis              | table | postgres
 winners | sp_respuesta          | table | postgres
 winners | sp_segisp             | table | postgres
 winners | suctransf             | table | postgres
 winners | suelgan               | table | postgres
 winners | t_respuesta           | table | postgres
 winners | t_respuesta1          | table | postgres
 winners | tareas                | table | postgres
 winners | tarjetas              | table | postgres
 winners | tarjlote              | table | postgres
 winners | tarjplan              | table | postgres
 winners | textos                | table | postgres
 winners | tipoceco              | table | postgres
 winners | tipocomp              | table | postgres
 winners | tipogastoafa          | table | postgres
 winners | token                 | table | postgres
 winners | tratativa             | table | postgres
 winners | u_ctacte              | table | postgres
 winners | unidmedi              | table | postgres
 winners | unidnego              | table | postgres
 winners | usuario               | table | desarrollador
 winners | usuario_rol           | table | desarrollador
 winners | valstoca              | table | postgres
 winners | valstode              | table | postgres
 winners | vardconf              | table | postgres
 winners | vardmatr              | table | postgres
 winners | vardoc                | table | postgres
 winners | vastpaca              | table | postgres
 winners | vastpade              | table | postgres
 winners | via_cabe              | table | postgres
 winners | via_deta              | table | postgres
 winners | webservices           | table | postgres
 winners | zona                  | table | postgres
(347 rows)
